Datum,EPI_teig,EPI_wasser,EPI_strom,EPI_fernwaerme
2013-01-01,96.7,91.1,86.1,106.6
2013-01-02,96.7,91.1,86.1,106.6
2013-01-03,96.7,91.1,86.1,106.6
2013-01-04,96.7,91.1,86.1,106.6
2013-01-05,96.7,91.1,86.1,106.6
2013-01-06,96.7,91.1,86.1,106.6
2013-01-07,96.7,91.1,86.1,106.6
2013-01-08,96.7,91.1,86.1,106.6
2013-01-09,96.7,91.1,86.1,106.6
2013-01-10,96.7,91.1,86.1,106.6
2013-01-11,96.7,91.1,86.1,106.6
2013-01-12,96.7,91.1,86.1,106.6
2013-01-13,96.7,91.1,86.1,106.6
2013-01-14,96.7,91.1,86.1,106.6
2013-01-15,96.7,91.1,86.1,106.6
2013-01-16,96.7,91.1,86.1,106.6
2013-01-17,96.7,91.1,86.1,106.6
2013-01-18,96.7,91.1,86.1,106.6
2013-01-19,96.7,91.1,86.1,106.6
2013-01-20,96.7,91.1,86.1,106.6
2013-01-21,96.7,91.1,86.1,106.6
2013-01-22,96.7,91.1,86.1,106.6
2013-01-23,96.7,91.1,86.1,106.6
2013-01-24,96.7,91.1,86.1,106.6
2013-01-25,96.7,91.1,86.1,106.6
2013-01-26,96.7,91.1,86.1,106.6
2013-01-27,96.7,91.1,86.1,106.6
2013-01-28,96.7,91.1,86.1,106.6
2013-01-29,96.7,91.1,86.1,106.6
2013-01-30,96.7,91.1,86.1,106.6
2013-01-31,96.7,91.1,86.1,106.6
2013-02-01,97.1,91.1,86.5,106.9
2013-02-02,97.1,91.1,86.5,106.9
2013-02-03,97.1,91.1,86.5,106.9
2013-02-04,97.1,91.1,86.5,106.9
2013-02-05,97.1,91.1,86.5,106.9
2013-02-06,97.1,91.1,86.5,106.9
2013-02-07,97.1,91.1,86.5,106.9
2013-02-08,97.1,91.1,86.5,106.9
2013-02-09,97.1,91.1,86.5,106.9
2013-02-10,97.1,91.1,86.5,106.9
2013-02-11,97.1,91.1,86.5,106.9
2013-02-12,97.1,91.1,86.5,106.9
2013-02-13,97.1,91.1,86.5,106.9
2013-02-14,97.1,91.1,86.5,106.9
2013-02-15,97.1,91.1,86.5,106.9
2013-02-16,97.1,91.1,86.5,106.9
2013-02-17,97.1,91.1,86.5,106.9
2013-02-18,97.1,91.1,86.5,106.9
2013-02-19,97.1,91.1,86.5,106.9
2013-02-20,97.1,91.1,86.5,106.9
2013-02-21,97.1,91.1,86.5,106.9
2013-02-22,97.1,91.1,86.5,106.9
2013-02-23,97.1,91.1,86.5,106.9
2013-02-24,97.1,91.1,86.5,106.9
2013-02-25,97.1,91.1,86.5,106.9
2013-02-26,97.1,91.1,86.5,106.9
2013-02-27,97.1,91.1,86.5,106.9
2013-02-28,97.1,91.1,86.5,106.9
2013-03-01,97.1,91.2,88.6,106.9
2013-03-02,97.1,91.2,88.6,106.9
2013-03-03,97.1,91.2,88.6,106.9
2013-03-04,97.1,91.2,88.6,106.9
2013-03-05,97.1,91.2,88.6,106.9
2013-03-06,97.1,91.2,88.6,106.9
2013-03-07,97.1,91.2,88.6,106.9
2013-03-08,97.1,91.2,88.6,106.9
2013-03-09,97.1,91.2,88.6,106.9
2013-03-10,97.1,91.2,88.6,106.9
2013-03-11,97.1,91.2,88.6,106.9
2013-03-12,97.1,91.2,88.6,106.9
2013-03-13,97.1,91.2,88.6,106.9
2013-03-14,97.1,91.2,88.6,106.9
2013-03-15,97.1,91.2,88.6,106.9
2013-03-16,97.1,91.2,88.6,106.9
2013-03-17,97.1,91.2,88.6,106.9
2013-03-18,97.1,91.2,88.6,106.9
2013-03-19,97.1,91.2,88.6,106.9
2013-03-20,97.1,91.2,88.6,106.9
2013-03-21,97.1,91.2,88.6,106.9
2013-03-22,97.1,91.2,88.6,106.9
2013-03-23,97.1,91.2,88.6,106.9
2013-03-24,97.1,91.2,88.6,106.9
2013-03-25,97.1,91.2,88.6,106.9
2013-03-26,97.1,91.2,88.6,106.9
2013-03-27,97.1,91.2,88.6,106.9
2013-03-28,97.1,91.2,88.6,106.9
2013-03-29,97.1,91.2,88.6,106.9
2013-03-30,97.1,91.2,88.6,106.9
2013-03-31,97.1,91.2,88.6,106.9
2013-04-01,97.3,91.2,89.3,107
2013-04-02,97.3,91.2,89.3,107
2013-04-03,97.3,91.2,89.3,107
2013-04-04,97.3,91.2,89.3,107
2013-04-05,97.3,91.2,89.3,107
2013-04-06,97.3,91.2,89.3,107
2013-04-07,97.3,91.2,89.3,107
2013-04-08,97.3,91.2,89.3,107
2013-04-09,97.3,91.2,89.3,107
2013-04-10,97.3,91.2,89.3,107
2013-04-11,97.3,91.2,89.3,107
2013-04-12,97.3,91.2,89.3,107
2013-04-13,97.3,91.2,89.3,107
2013-04-14,97.3,91.2,89.3,107
2013-04-15,97.3,91.2,89.3,107
2013-04-16,97.3,91.2,89.3,107
2013-04-17,97.3,91.2,89.3,107
2013-04-18,97.3,91.2,89.3,107
2013-04-19,97.3,91.2,89.3,107
2013-04-20,97.3,91.2,89.3,107
2013-04-21,97.3,91.2,89.3,107
2013-04-22,97.3,91.2,89.3,107
2013-04-23,97.3,91.2,89.3,107
2013-04-24,97.3,91.2,89.3,107
2013-04-25,97.3,91.2,89.3,107
2013-04-26,97.3,91.2,89.3,107
2013-04-27,97.3,91.2,89.3,107
2013-04-28,97.3,91.2,89.3,107
2013-04-29,97.3,91.2,89.3,107
2013-04-30,97.3,91.2,89.3,107
2013-05-01,97.6,91.4,89.3,107
2013-05-02,97.6,91.4,89.3,107
