Datum,VPI_brot_getreide,VPI_molkerei_ei,VPI_speiseoel_fett,VPI_Obst,VPI_zucker_suesses
2013-01-01,91.6,86,80.4,82.6,92.7
2013-01-02,91.6,86,80.4,82.6,92.7
2013-01-03,91.6,86,80.4,82.6,92.7
2013-01-04,91.6,86,80.4,82.6,92.7
2013-01-05,91.6,86,80.4,82.6,92.7
2013-01-06,91.6,86,80.4,82.6,92.7
2013-01-07,91.6,86,80.4,82.6,92.7
2013-01-08,91.6,86,80.4,82.6,92.7
2013-01-09,91.6,86,80.4,82.6,92.7
2013-01-10,91.6,86,80.4,82.6,92.7
2013-01-11,91.6,86,80.4,82.6,92.7
2013-01-12,91.6,86,80.4,82.6,92.7
2013-01-13,91.6,86,80.4,82.6,92.7
2013-01-14,91.6,86,80.4,82.6,92.7
2013-01-15,91.6,86,80.4,82.6,92.7
2013-01-16,91.6,86,80.4,82.6,92.7
2013-01-17,91.6,86,80.4,82.6,92.7
2013-01-18,91.6,86,80.4,82.6,92.7
2013-01-19,91.6,86,80.4,82.6,92.7
2013-01-20,91.6,86,80.4,82.6,92.7
2013-01-21,91.6,86,80.4,82.6,92.7
2013-01-22,91.6,86,80.4,82.6,92.7
2013-01-23,91.6,86,80.4,82.6,92.7
2013-01-24,91.6,86,80.4,82.6,92.7
2013-01-25,91.6,86,80.4,82.6,92.7
2013-01-26,91.6,86,80.4,82.6,92.7
2013-01-27,91.6,86,80.4,82.6,92.7
2013-01-28,91.6,86,80.4,82.6,92.7
2013-01-29,91.6,86,80.4,82.6,92.7
2013-01-30,91.6,86,80.4,82.6,92.7
2013-01-31,91.6,86,80.4,82.6,92.7
2013-02-01,91.9,86.3,81.2,81.9,93
2013-02-02,91.9,86.3,81.2,81.9,93
2013-02-03,91.9,86.3,81.2,81.9,93
2013-02-04,91.9,86.3,81.2,81.9,93
2013-02-05,91.9,86.3,81.2,81.9,93
2013-02-06,91.9,86.3,81.2,81.9,93
2013-02-07,91.9,86.3,81.2,81.9,93
2013-02-08,91.9,86.3,81.2,81.9,93
2013-02-09,91.9,86.3,81.2,81.9,93
2013-02-10,91.9,86.3,81.2,81.9,93
2013-02-11,91.9,86.3,81.2,81.9,93
2013-02-12,91.9,86.3,81.2,81.9,93
2013-02-13,91.9,86.3,81.2,81.9,93
2013-02-14,91.9,86.3,81.2,81.9,93
2013-02-15,91.9,86.3,81.2,81.9,93
2013-02-16,91.9,86.3,81.2,81.9,93
2013-02-17,91.9,86.3,81.2,81.9,93
2013-02-18,91.9,86.3,81.2,81.9,93
2013-02-19,91.9,86.3,81.2,81.9,93
2013-02-20,91.9,86.3,81.2,81.9,93
2013-02-21,91.9,86.3,81.2,81.9,93
2013-02-22,91.9,86.3,81.2,81.9,93
2013-02-23,91.9,86.3,81.2,81.9,93
2013-02-24,91.9,86.3,81.2,81.9,93
2013-02-25,91.9,86.3,81.2,81.9,93
2013-02-26,91.9,86.3,81.2,81.9,93
2013-02-27,91.9,86.3,81.2,81.9,93
2013-02-28,91.9,86.3,81.2,81.9,93
2013-03-01,92,86.4,82.5,82.3,93.7
2013-03-02,92,86.4,82.5,82.3,93.7
2013-03-03,92,86.4,82.5,82.3,93.7
2013-03-04,92,86.4,82.5,82.3,93.7
2013-03-05,92,86.4,82.5,82.3,93.7
2013-03-06,92,86.4,82.5,82.3,93.7
2013-03-07,92,86.4,82.5,82.3,93.7
2013-03-08,92,86.4,82.5,82.3,93.7
2013-03-09,92,86.4,82.5,82.3,93.7
2013-03-10,92,86.4,82.5,82.3,93.7
2013-03-11,92,86.4,82.5,82.3,93.7
2013-03-12,92,86.4,82.5,82.3,93.7
2013-03-13,92,86.4,82.5,82.3,93.7
2013-03-14,92,86.4,82.5,82.3,93.7
2013-03-15,92,86.4,82.5,82.3,93.7
2013-03-16,92,86.4,82.5,82.3,93.7
2013-03-17,92,86.4,82.5,82.3,93.7
2013-03-18,92,86.4,82.5,82.3,93.7
2013-03-19,92,86.4,82.5,82.3,93.7
2013-03-20,92,86.4,82.5,82.3,93.7
2013-03-21,92,86.4,82.5,82.3,93.7
2013-03-22,92,86.4,82.5,82.3,93.7
2013-03-23,92,86.4,82.5,82.3,93.7
2013-03-24,92,86.4,82.5,82.3,93.7
2013-03-25,92,86.4,82.5,82.3,93.7
2013-03-26,92,86.4,82.5,82.3,93.7
2013-03-27,92,86.4,82.5,82.3,93.7
2013-03-28,92,86.4,82.5,82.3,93.7
2013-03-29,92,86.4,82.5,82.3,93.7
2013-03-30,92,86.4,82.5,82.3,93.7
2013-03-31,92,86.4,82.5,82.3,93.7
2013-04-01,92.1,86.4,82.7,83.9,93.6
2013-04-02,92.1,86.4,82.7,83.9,93.6
2013-04-03,92.1,86.4,82.7,83.9,93.6
2013-04-04,92.1,86.4,82.7,83.9,93.6
2013-04-05,92.1,86.4,82.7,83.9,93.6
2013-04-06,92.1,86.4,82.7,83.9,93.6
2013-04-07,92.1,86.4,82.7,83.9,93.6
2013-04-08,92.1,86.4,82.7,83.9,93.6
2013-04-09,92.1,86.4,82.7,83.9,93.6
2013-04-10,92.1,86.4,82.7,83.9,93.6
2013-04-11,92.1,86.4,82.7,83.9,93.6
2013-04-12,92.1,86.4,82.7,83.9,93.6
2013-04-13,92.1,86.4,82.7,83.9,93.6
2013-04-14,92.1,86.4,82.7,83.9,93.6
2013-04-15,92.1,86.4,82.7,83.9,93.6
2013-04-16,92.1,86.4,82.7,83.9,93.6
2013-04-17,92.1,86.4,82.7,83.9,93.6
2013-04-18,92.1,86.4,82.7,83.9,93.6
2013-04-19,92.1,86.4,82.7,83.9,93.6
2013-04-20,92.1,86.4,82.7,83.9,93.6
2013-04-21,92.1,86.4,82.7,83.9,93.6
2013-04-22,92.1,86.4,82.7,83.9,93.6
2013-04-23,92.1,86.4,82.7,83.9,93.6
2013-04-24,92.1,86.4,82.7,83.9,93.6
2013-04-25,92.1,86.4,82.7,83.9,93.6
2013-04-26,92.1,86.4,82.7,83.9,93.6
2013-04-27,92.1,86.4,82.7,83.9,93.6
2013-04-28,92.1,86.4,82.7,83.9,93.6
2013-04-29,92.1,86.4,82.7,83.9,93.6
2013-04-30,92.1,86.4,82.7,83.9,93.6
