Datum,Umsatz,feiertag,brueckentag,BW,BY,B,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
2013-07-01,1269.24910731998,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
2013-07-02,1430.0083973267333,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
2013-07-03,1124.2748941201457,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
2013-07-04,1184.3095670178782,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
2013-07-05,1288.0230602120182,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
2013-07-06,1540.5298975581647,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
2013-07-07,1532.3729274131556,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
2013-07-08,1203.9216946232323,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2013-07-09,1385.1123293468459,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2013-07-10,1384.7659389826279,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2013-07-11,1326.8616313035402,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2013-07-12,1354.717013539311,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2013-07-13,1661.8613816349975,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2013-07-14,1786.553765281086,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2013-07-15,1481.963405858342,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2013-07-16,1375.2489950082643,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2013-07-17,1477.670323685468,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2013-07-18,1389.7541924313455,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2013-07-19,1527.0763604307554,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2013-07-20,1788.2360322693241,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2013-07-21,1599.0157338099675,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2013-07-22,1532.438770398039,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-23,1511.4861602726614,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-24,1579.1769061206978,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-25,1498.84454154252,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-26,1602.303163851975,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-27,1758.881047587065,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-28,1755.8025904192964,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-29,1581.050773432065,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-30,1600.8473293204288,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-07-31,1560.649380745598,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-01,1512.7538168934125,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-02,1537.074863033557,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-03,2022.0929783769382,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-04,1879.1788638421608,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1
2013-08-05,1353.5850885584,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1
2013-08-06,1486.208899835055,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1
2013-08-07,1528.2338963920583,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1
